date,open,high,low,close
20250627,3077.87,3093.56,3041.85,3055.94
20250630,3072.75,3086.0,3063.42,3071.7
20250701,3089.64,3133.52,3088.45,3089.65
20250702,3083.82,3090.61,3032.47,3075.06
20250703,3100.33,3116.27,3085.98,3116.27
20250704,3122.28,3123.84,3052.91,3054.28
20250707,3044.78,3068.43,3032.99,3059.47
20250708,3071.74,3115.86,3066.03,3114.95
20250709,3123.22,3137.17,3111.02,3133.74
20250710,3144.14,3183.23,3133.81,3183.23
20250711,3186.35,3216.69,3170.46,3175.77
20250714,3175.59,3202.06,3170.72,3202.03
20250715,3194.82,3216.01,3183.83,3215.28
20250716,3207.48,3209.2,3178.42,3186.38
20250717,3201.42,3201.42,3152.42,3192.29
20250718,3200.44,3204.75,3169.69,3188.07
20250721,3191.11,3211.14,3188.87,3210.81
20250722,3210.12,3220.27,3155.25,3169.94
20250723,3189.65,3199.86,3141.93,3183.77
20250724,3209.43,3237.97,3183.05,3190.45
20250725,3184.37,3205.82,3184.37,3196.05
20250728,3228.61,3228.61,3180.18,3209.52
20250729,3192.17,3232.31,3169.03,3230.57
20250730,3233.31,3269.4,3227.28,3254.47
20250731,3275.78,3288.26,3227.46,3245.44
20250801,3210.32,3210.32,3117.92,3119.41
20250804,3114.27,3157.45,3105.63,3147.75
20250805,3187.15,3212.31,3174.23,3198.0
20250806,3182.06,3200.15,3176.61,3198.14
20250807,3214.81,3227.68,3200.28,3227.68
20250808,3220.58,3227.28,3198.31,3210.01
20250811,3220.72,3223.23,3199.9,3206.77
20250812,3209.75,3242.17,3189.58,3189.91
20250813,3225.4,3226.37,3192.17,3224.37
20250814,3226.52,3239.55,3210.83,3225.66
20250818,3202.63,3206.77,3177.28,3177.28
20250819,3185.04,3185.48,3142.48,3151.56
20250820,3121.52,3132.83,3079.27,3130.09
20250821,3140.71,3166.54,3134.86,3141.74
